site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-13,Normal,349.93,,,,24.0,174.01,7.250417,0.994542,24.0,175.92,7.33,1.005458
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,3,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-17,site_missing_data,328.53,FRONIUS-f9342ead-59a2-4c58-b54c--011,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-18,site_missing_data,350.29,FRONIUS-f9342ead-59a2-4c58-b54c--011,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-19,Normal,0.7,,,,24.0,0.34,0.014167,0.971429,24.0,0.36,0.015,1.028571
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-20,Normal,352.62,,,,24.0,174.69,7.27875,0.990812,24.0,177.93,7.41375,1.009188
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-21,Normal,307.13,,,,24.0,152.22,6.3425,0.991241,24.0,154.91,6.454583,1.008759
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-22,Normal,361.15,,,,24.0,178.91,7.454583,0.990779,24.0,182.24,7.593333,1.009221
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-23,Normal,354.62,,,,24.0,176.54,7.355833,0.995657,24.0,178.08,7.42,1.004343
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-24,Normal,360.93,,,,24.0,179.79,7.49125,0.99626,24.0,181.14,7.5475,1.00374
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-25,Normal,350.65,,,,24.0,175.8,7.325,1.002709,24.0,174.85,7.285417,0.997291
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-26,Normal,349.57,,,,24.0,173.33,7.222083,0.991675,24.0,176.24,7.343333,1.008325
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,2,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-29,Normal,328.5,,,,24.0,163.28,6.803333,0.994094,24.0,165.22,6.884167,1.005906
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-30,Normal,170.05,,,,24.0,84.17,3.507083,0.989944,24.0,85.88,3.578333,1.010056
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-01,Normal,228.85,,,,24.0,112.81,4.700417,0.985886,24.0,116.04,4.835,1.014114
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-02,Normal,206.98,,,,24.0,102.41,4.267083,0.989564,24.0,104.57,4.357083,1.010436
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-03,Normal,258.36,,,,24.0,127.68,5.32,0.988388,24.0,130.68,5.445,1.011612
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-04,Normal,30.16,,,,24.0,16.53,0.68875,1.096154,24.0,13.63,0.567917,0.903846
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-05,site_missing_data,228.85,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-06,site_missing_data,217.915,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-07,site_missing_data,206.98,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-08,site_missing_data,217.915,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-09,site_missing_data,206.98,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-10,site_missing_data,144.26,FRONIUS-f9342ead-59a2-4c58-b54c--012,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-11,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-12,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-13,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-14,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,4,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-19,site_missing_data,286.05,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-20,site_missing_data,266.465,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-21,site_missing_data,286.05,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-22,site_missing_data,293.455,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-23,site_missing_data,300.86,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-24,site_missing_data,293.455,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-25,site_missing_data,286.05,FRONIUS-f9342ead-59a2-4c58-b54c--013,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-26,Normal,286.05,,,,24.0,141.93,5.91375,0.992344,24.0,144.12,6.005,1.007656
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-27,Normal,246.88,,,,24.0,122.57,5.107083,0.992952,24.0,124.31,5.179583,1.007048
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-28,Normal,319.55,,,,24.0,158.14,6.589167,0.989767,24.0,161.41,6.725417,1.010233
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-29,Normal,300.86,,,,24.0,148.5,6.1875,0.98717,24.0,152.36,6.348333,1.01283
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-30,Normal,309.05,,,,24.0,152.43,6.35125,0.986442,24.0,156.62,6.525833,1.013558
Penner Farms - W 1/2 4-9-13 (site 4),2025-10-31,Normal,216.78,,,,24.0,108.66,4.5275,1.002491,24.0,108.12,4.505,0.997509
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-01,Normal,75.65,,,,24.0,38.07,1.58625,1.006477,24.0,37.58,1.565833,0.993523
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-02,Normal,309.55,,,,24.0,154.74,6.4475,0.999774,24.0,154.81,6.450417,1.000226
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-03,Normal,77.5,,,,24.0,38.0,1.583333,0.980645,24.0,39.5,1.645833,1.019355
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-04,Normal,303.95,,,,24.0,149.56,6.231667,0.984109,24.0,154.39,6.432917,1.015891
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,14,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-19,Normal,258.03,,,,24.0,125.98,5.249167,0.976476,24.0,132.05,5.502083,1.023524
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-20,Normal,259.67,,,,24.0,127.64,5.318333,0.983094,24.0,132.03,5.50125,1.016906
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-21,Normal,110.97,,,,24.0,54.18,2.2575,0.97648,24.0,56.79,2.36625,1.02352
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-22,Normal,147.5,,,,24.0,72.31,3.012917,0.980475,24.0,75.19,3.132917,1.019525
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-23,Normal,100.45,,,,24.0,49.13,2.047083,0.978198,24.0,51.32,2.138333,1.021802
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-24,Normal,13.91,,,,24.0,6.56,0.273333,0.943206,24.0,7.35,0.30625,1.056794
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-25,Normal,51.87,,,,24.0,26.95,1.122917,1.039136,24.0,24.92,1.038333,0.960864
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-26,Normal,95.49,,,,24.0,43.07,1.794583,0.902084,24.0,52.42,2.184167,1.097916
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-27,Normal,57.79,,,,24.0,26.46,1.1025,0.915729,24.0,31.33,1.305417,1.084271
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-28,Normal,22.48,,,,24.0,9.19,0.382917,0.817616,24.0,13.29,0.55375,1.182384
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-29,sustained_underperformance,79.11,FRONIUS-f9342ead-59a2-4c58-b54c--014,Symo  24.0-3 480 (1),,24.0,24.09,1.00375,0.609025,24.0,55.02,2.2925,1.390975
Penner Farms - W 1/2 4-9-13 (site 4),2025-11-30,sustained_underperformance,87.52,FRONIUS-f9342ead-59a2-4c58-b54c--014,Symo  24.0-3 480 (1),,24.0,29.56,1.231667,0.675503,24.0,57.96,2.415,1.324497
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-01,sustained_underperformance,66.6,FRONIUS-f9342ead-59a2-4c58-b54c--014,Symo  24.0-3 480 (1),,24.0,26.0,1.083333,0.780781,24.0,40.6,1.691667,1.219219
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-02,Normal,58.74,,,,24.0,28.89,1.20375,0.983657,24.0,29.85,1.24375,1.016343
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-03,Normal,213.53,,,,24.0,102.89,4.287083,0.963705,24.0,110.64,4.61,1.036295
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-04,Normal,153.23,,,,24.0,75.42,3.1425,0.984403,24.0,77.81,3.242083,1.015597
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-05,Normal,76.22,,,,24.0,37.71,1.57125,0.989504,24.0,38.51,1.604583,1.010496
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-06,Normal,26.96,,,,24.0,13.13,0.547083,0.974036,24.0,13.83,0.57625,1.025964
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-07,Normal,67.77,,,,24.0,32.97,1.37375,0.972997,24.0,34.8,1.45,1.027003
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-08,Normal,44.84,,,,24.0,21.96,0.915,0.979483,24.0,22.88,0.953333,1.020517
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-09,Normal,158.18,,,,24.0,76.3,3.179167,0.964724,24.0,81.88,3.411667,1.035276
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-10,Normal,41.61,,,,24.0,21.38,0.890833,1.027638,24.0,20.23,0.842917,0.972362
Penner Farms - W 1/2 4-9-13 (site 4),2025-12-11,Normal,31.24,,,,24.0,15.83,0.659583,1.013444,24.0,15.41,0.642083,0.986556
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,55,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-05,Normal,295.39,,,,24.0,145.35,6.05625,0.984123,24.0,150.04,6.251667,1.015877
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-06,Normal,254.25,,,,24.0,125.33,5.222083,0.98588,24.0,128.92,5.371667,1.01412
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-07,Normal,237.09,,,,24.0,116.79,4.86625,0.985195,24.0,120.3,5.0125,1.014805
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-08,Normal,118.02,,,,24.0,58.46,2.435833,0.99068,24.0,59.56,2.481667,1.00932
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-09,Normal,161.12,,,,24.0,79.28,3.303333,0.984111,24.0,81.84,3.41,1.015889
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-10,Normal,318.62,,,,24.0,159.83,6.659583,1.003264,24.0,158.79,6.61625,0.996736
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-11,Normal,321.47,,,,24.0,158.93,6.622083,0.98877,24.0,162.54,6.7725,1.01123
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-12,Normal,213.41,,,,24.0,105.54,4.3975,0.989082,24.0,107.87,4.494583,1.010918
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-13,Normal,137.28,,,,24.0,67.79,2.824583,0.987617,24.0,69.49,2.895417,1.012383
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-14,Normal,244.5,,,,24.0,122.0,5.083333,0.997955,24.0,122.5,5.104167,1.002045
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-15,site_missing_data,231.085,FRONIUS-f9342ead-59a2-4c58-b54c--015,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-16,Normal,217.67,,,,24.0,107.98,4.499167,0.992144,24.0,109.69,4.570417,1.007856
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-17,Normal,63.27,,,,24.0,31.1,1.295833,0.983088,24.0,32.17,1.340417,1.016912
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-18,Normal,206.03,,,,24.0,100.81,4.200417,0.978595,24.0,105.22,4.384167,1.021405
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-19,Normal,281.65,,,,24.0,135.09,5.62875,0.959276,24.0,146.56,6.106667,1.040724
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-20,Normal,260.93,,,,24.0,128.53,5.355417,0.985168,24.0,132.4,5.516667,1.014832
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-21,Normal,355.49,,,,24.0,178.09,7.420417,1.001941,24.0,177.4,7.391667,0.998059
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-22,Normal,327.24,,,,24.0,163.98,6.8325,1.0022,24.0,163.26,6.8025,0.9978
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-23,Normal,233.69,,,,24.0,115.33,4.805417,0.987034,24.0,118.36,4.931667,1.012966
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-24,Normal,352.49,,,,24.0,174.92,7.288333,0.992482,24.0,177.57,7.39875,1.007518
Penner Farms - W 1/2 4-9-13 (site 4),2026-02-25,Normal,204.07,,,,24.0,100.69,4.195417,0.986818,24.0,103.38,4.3075,1.013182
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,53,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-20,Normal,401.3,,,,24.0,199.59,8.31625,0.994717,24.0,201.71,8.404583,1.005283
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-21,Normal,407.0,,,,24.0,202.21,8.425417,0.993661,24.0,204.79,8.532917,1.006339
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-22,Normal,370.51,,,,24.0,184.27,7.677917,0.994683,24.0,186.24,7.76,1.005317
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-23,Normal,289.04,,,,24.0,142.88,5.953333,0.988652,24.0,146.16,6.09,1.011348
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-24,Normal,274.04,,,,24.0,128.84,5.368333,0.940301,24.0,145.2,6.05,1.059699
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-25,Normal,262.52,,,,24.0,125.45,5.227083,0.955737,24.0,137.07,5.71125,1.044263
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-26,Normal,324.32,,,,24.0,160.43,6.684583,0.989332,24.0,163.89,6.82875,1.010668
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-27,Normal,448.62,,,,24.0,223.76,9.323333,0.997548,24.0,224.86,9.369167,1.002452
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-28,Normal,423.83,,,,24.0,211.87,8.827917,0.999788,24.0,211.96,8.831667,1.000212
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-29,Normal,391.39,,,,24.0,194.48,8.103333,0.993791,24.0,196.91,8.204583,1.006209
Penner Farms - W 1/2 4-9-13 (site 4),2026-04-30,site_missing_data,375.545,FRONIUS-f9342ead-59a2-4c58-b54c--016,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-01,site_missing_data,382.615,FRONIUS-f9342ead-59a2-4c58-b54c--016,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-02,site_missing_data,382.615,FRONIUS-f9342ead-59a2-4c58-b54c--016,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-03,Normal,52.42,,,,24.0,25.75,1.072917,0.982449,24.0,26.67,1.11125,1.017551
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-04,Normal,385.17,,,,24.0,191.18,7.965833,0.992705,24.0,193.99,8.082917,1.007295
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-05,Normal,380.06,,,,24.0,188.6,7.858333,0.992475,24.0,191.46,7.9775,1.007525
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-06,Normal,411.28,,,,24.0,204.87,8.53625,0.996256,24.0,206.41,8.600417,1.003744
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-07,Normal,371.03,,,,24.0,183.97,7.665417,0.991672,24.0,187.06,7.794167,1.008328
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-08,Normal,398.16,,,,24.0,199.01,8.292083,0.999648,24.0,199.15,8.297917,1.000352
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-09,Normal,232.42,,,,24.0,116.51,4.854583,1.002582,24.0,115.91,4.829583,0.997418
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-10,Normal,333.62,,,,24.0,165.98,6.915833,0.995024,24.0,167.64,6.985,1.004976
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-11,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2026-05-12,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
