site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  24.0-3 480 (1) (115C8E)__rated_kw,Symo  24.0-3 480 (1) (115C8E)__daily_energy_kwh,Symo  24.0-3 480 (1) (115C8E)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1) (115C8E)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (2) (115C98)__rated_kw,Symo  24.0-3 480 (2) (115C98)__daily_energy_kwh,Symo  24.0-3 480 (2) (115C98)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (2) (115C98)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (115CA1)__rated_kw,Symo 24.0-3 480 (3) (115CA1)__daily_energy_kwh,Symo 24.0-3 480 (3) (115CA1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (115CA1)__relative_specific_yield_vs_site_avg
Penner Farms - 32-8-13 pump (site 1),2024-06-20,multiple_inverter_issues,354.37,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,178.31,7.429583,1.509524,24.0,176.06,7.335833,1.490476,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-21,multiple_inverter_issues,336.47,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,169.26,7.0525,1.509139,24.0,167.21,6.967083,1.490861,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-22,multiple_inverter_issues,388.53,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,194.94,8.1225,1.505212,24.0,193.59,8.06625,1.494788,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-23,multiple_inverter_issues,377.46,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,189.27,7.88625,1.504292,24.0,188.19,7.84125,1.495708,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-24,multiple_inverter_issues,404.25,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,202.39,8.432917,1.501967,24.0,201.86,8.410833,1.498033,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-25,multiple_inverter_issues,412.45,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,206.41,8.600417,1.501346,24.0,206.04,8.585,1.498654,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-26,multiple_inverter_issues,277.7,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,139.73,5.822083,1.509507,24.0,137.97,5.74875,1.490493,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-27,Normal,221.98,,,24.0,75.11,3.129583,1.015091,24.0,74.22,3.0925,1.003063,24.0,72.65,3.027083,0.981845
Penner Farms - 32-8-13 pump (site 1),2024-06-28,Normal,279.66,,,24.0,93.2,3.883333,0.999785,24.0,92.17,3.840417,0.988736,24.0,94.29,3.92875,1.011478
Penner Farms - 32-8-13 pump (site 1),2024-06-29,Normal,589.59,,,24.0,196.96,8.206667,1.002188,24.0,193.34,8.055833,0.983768,24.0,199.29,8.30375,1.014044
Penner Farms - 32-8-13 pump (site 1),2024-06-30,Normal,211.27,,,24.0,70.36,2.931667,0.999101,24.0,69.25,2.885417,0.983339,24.0,71.66,2.985833,1.01756
Penner Farms - 32-8-13 pump (site 1),2024-07-01,Normal,332.59,,,24.0,110.56,4.606667,0.997264,24.0,109.54,4.564167,0.988063,24.0,112.49,4.687083,1.014673
Penner Farms - 32-8-13 pump (site 1),,Marker - 195 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2025-01-13,Normal,157.31,,,24.0,52.8,2.2,1.006929,24.0,48.18,2.0075,0.918823,24.0,56.33,2.347083,1.074248
Penner Farms - 32-8-13 pump (site 1),2025-01-14,Normal,172.79,,,24.0,57.51,2.39625,0.998495,24.0,55.9,2.329167,0.970542,24.0,59.38,2.474167,1.030962
Penner Farms - 32-8-13 pump (site 1),2025-01-15,Normal,301.49,,,24.0,101.02,4.209167,1.005207,24.0,96.62,4.025833,0.961425,24.0,103.85,4.327083,1.033368
Penner Farms - 32-8-13 pump (site 1),2025-01-16,Normal,279.74,,,24.0,93.23,3.884583,0.999821,24.0,90.95,3.789583,0.97537,24.0,95.56,3.981667,1.024809
Penner Farms - 32-8-13 pump (site 1),2025-01-17,Normal,123.65,,,24.0,43.01,1.792083,1.04351,24.0,33.55,1.397917,0.813991,24.0,47.09,1.962083,1.142499
Penner Farms - 32-8-13 pump (site 1),2025-01-18,sustained_underperformance,178.44,FRONIUS-c3c803c9-49a6-4c83-9884--G006,Symo  24.0-3 480 (2) (115C98),24.0,61.19,2.549583,1.028749,24.0,28.85,1.202083,0.485037,24.0,88.4,3.683333,1.486214
Penner Farms - 32-8-13 pump (site 1),2025-01-19,sustained_underperformance,267.67,FRONIUS-c3c803c9-49a6-4c83-9884--G006,Symo  24.0-3 480 (2) (115C98),24.0,101.7,4.2375,1.139836,24.0,35.79,1.49125,0.401128,24.0,130.18,5.424167,1.459035
Penner Farms - 32-8-13 pump (site 1),2025-01-20,sustained_underperformance,264.68,FRONIUS-c3c803c9-49a6-4c83-9884--G006,Symo  24.0-3 480 (2) (115C98),24.0,101.18,4.215833,1.146819,24.0,39.62,1.650833,0.449071,24.0,123.88,5.161667,1.404111
Penner Farms - 32-8-13 pump (site 1),2025-01-21,Normal,77.15,,,24.0,25.31,1.054583,0.984187,24.0,25.31,1.054583,0.984187,24.0,26.53,1.105417,1.031627
Penner Farms - 32-8-13 pump (site 1),2025-01-22,Normal,160.93,,,24.0,53.35,2.222917,0.994532,24.0,52.36,2.181667,0.976077,24.0,55.22,2.300833,1.029392
Penner Farms - 32-8-13 pump (site 1),2025-01-23,Normal,82.2,,,24.0,27.35,1.139583,0.998175,24.0,26.82,1.1175,0.978832,24.0,28.03,1.167917,1.022993
Penner Farms - 32-8-13 pump (site 1),2025-01-24,Normal,130.5,,,24.0,44.1,1.8375,1.013793,24.0,43.55,1.814583,1.001149,24.0,42.85,1.785417,0.985057
Penner Farms - 32-8-13 pump (site 1),2025-01-25,Normal,331.24,,,24.0,111.03,4.62625,1.005585,24.0,106.12,4.421667,0.961116,24.0,114.09,4.75375,1.033299
Penner Farms - 32-8-13 pump (site 1),,Marker - 302 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2025-11-24,Normal,16.77,,,24.0,6.29,0.262083,1.125224,24.0,5.04,0.21,0.90161,24.0,5.44,0.226667,0.973166
Penner Farms - 32-8-13 pump (site 1),2025-11-25,Normal,59.68,,,24.0,22.86,0.9525,1.149129,24.0,15.68,0.653333,0.788204,24.0,21.14,0.880833,1.062668
Penner Farms - 32-8-13 pump (site 1),2025-11-26,Normal,144.31,,,24.0,60.53,2.522083,1.258333,24.0,37.26,1.5525,0.774582,24.0,46.52,1.938333,0.967085
Penner Farms - 32-8-13 pump (site 1),2025-11-27,Normal,82.27,,,24.0,33.53,1.397083,1.222681,24.0,21.77,0.907083,0.79385,24.0,26.97,1.12375,0.983469
Penner Farms - 32-8-13 pump (site 1),2025-11-28,Normal,32.57,,,24.0,12.66,0.5275,1.166104,24.0,7.8,0.325,0.718453,24.0,12.11,0.504583,1.115444
Penner Farms - 32-8-13 pump (site 1),2025-11-29,sustained_underperformance,119.96,FRONIUS-c3c803c9-49a6-4c83-9884--G007,Symo  24.0-3 480 (2) (115C98),24.0,47.75,1.989583,1.194148,24.0,18.43,0.767917,0.460904,24.0,53.78,2.240833,1.344948
Penner Farms - 32-8-13 pump (site 1),2025-11-30,sustained_underperformance,120.58,FRONIUS-c3c803c9-49a6-4c83-9884--G007,Symo  24.0-3 480 (2) (115C98),24.0,45.02,1.875833,1.120086,24.0,24.14,1.005833,0.600597,24.0,51.42,2.1425,1.279317
Penner Farms - 32-8-13 pump (site 1),2025-12-01,sustained_underperformance,91.11,FRONIUS-c3c803c9-49a6-4c83-9884--G007,Symo  24.0-3 480 (2) (115C98),24.0,35.0,1.458333,1.152453,24.0,23.0,0.958333,0.757326,24.0,33.11,1.379583,1.090221
Penner Farms - 32-8-13 pump (site 1),2025-12-02,Normal,79.16,,,24.0,26.47,1.102917,1.003158,24.0,25.73,1.072083,0.975114,24.0,26.96,1.123333,1.021728
Penner Farms - 32-8-13 pump (site 1),2025-12-03,Normal,288.94,,,24.0,97.03,4.042917,1.007441,24.0,89.94,3.7475,0.933827,24.0,101.97,4.24875,1.058732
Penner Farms - 32-8-13 pump (site 1),2025-12-04,Normal,206.01,,,24.0,67.58,2.815833,0.984127,24.0,67.67,2.819583,0.985438,24.0,70.76,2.948333,1.030435
Penner Farms - 32-8-13 pump (site 1),2025-12-05,Normal,105.49,,,24.0,35.24,1.468333,1.00218,24.0,33.83,1.409583,0.962082,24.0,36.42,1.5175,1.035738
Penner Farms - 32-8-13 pump (site 1),2025-12-06,Normal,41.72,,,24.0,14.62,0.609167,1.051294,24.0,13.78,0.574167,0.990892,24.0,13.32,0.555,0.957814
Penner Farms - 32-8-13 pump (site 1),2025-12-07,Normal,77.25,,,24.0,27.07,1.127917,1.051262,24.0,21.93,0.91375,0.85165,24.0,28.25,1.177083,1.097087
Penner Farms - 32-8-13 pump (site 1),2025-12-08,Normal,60.94,,,24.0,20.35,0.847917,1.001805,24.0,19.76,0.823333,0.97276,24.0,20.83,0.867917,1.025435
Penner Farms - 32-8-13 pump (site 1),2025-12-09,Normal,208.43,,,24.0,69.41,2.892083,0.99904,24.0,66.45,2.76875,0.956436,24.0,72.57,3.02375,1.044523
Penner Farms - 32-8-13 pump (site 1),2025-12-10,Normal,59.03,,,24.0,19.77,0.82375,1.004743,24.0,19.32,0.805,0.981874,24.0,19.94,0.830833,1.013383
Penner Farms - 32-8-13 pump (site 1),2025-12-11,Normal,44.48,,,24.0,14.36,0.598333,0.968525,24.0,14.33,0.597083,0.966502,24.0,15.79,0.657917,1.064973
