site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo 24.0-3 480 (1) (636559)__rated_kw,Symo 24.0-3 480 (1) (636559)__daily_energy_kwh,Symo 24.0-3 480 (1) (636559)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (636559)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (2) (636562)__rated_kw,Symo 24.0-3 480 (2) (636562)__daily_energy_kwh,Symo 24.0-3 480 (2) (636562)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (2) (636562)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (636570)__rated_kw,Symo 24.0-3 480 (3) (636570)__daily_energy_kwh,Symo 24.0-3 480 (3) (636570)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (636570)__relative_specific_yield_vs_site_avg
Penner Farms - SE 27-8-13 (site 2),2025-07-08,Normal,618.32,,,24.0,205.21,8.550417,0.99565,24.0,206.19,8.59125,1.000404,24.0,206.92,8.621667,1.003946
Penner Farms - SE 27-8-13 (site 2),2025-07-09,Normal,576.39,,,24.0,191.19,7.96625,0.995107,24.0,192.07,8.002917,0.999688,24.0,193.13,8.047083,1.005205
Penner Farms - SE 27-8-13 (site 2),2025-07-10,Normal,329.18,,,24.0,108.69,4.52875,0.990552,24.0,110.03,4.584583,1.002764,24.0,110.46,4.6025,1.006683
Penner Farms - SE 27-8-13 (site 2),2025-07-11,Normal,606.95,,,24.0,201.08,8.378333,0.993887,24.0,202.56,8.44,1.001203,24.0,203.31,8.47125,1.00491
Penner Farms - SE 27-8-13 (site 2),2025-07-12,Normal,597.5,,,24.0,198.18,8.2575,0.995046,24.0,199.51,8.312917,1.001724,24.0,199.81,8.325417,1.00323
Penner Farms - SE 27-8-13 (site 2),2025-07-13,site_missing_data,576.39,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-14,site_missing_data,586.945,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-15,site_missing_data,597.5,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-16,site_missing_data,586.945,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-17,site_missing_data,597.5,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-18,site_missing_data,602.225,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-19,site_missing_data,597.5,FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-20,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-21,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),,Marker - 0 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2025-07-22,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-23,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-24,site_missing_data,282.18,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-25,site_missing_data,430.93,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-26,site_missing_data,370.275,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-27,site_missing_data,309.62,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-28,site_missing_data,332.74,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-29,site_missing_data,355.86,FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-07-30,Normal,30.94,,,24.0,10.13,0.422083,0.982224,24.0,10.52,0.438333,1.020039,24.0,10.29,0.42875,0.997738
Penner Farms - SE 27-8-13 (site 2),2025-07-31,Normal,533.42,,,24.0,188.17,7.840417,1.058284,24.0,189.68,7.903333,1.066777,24.0,155.57,6.482083,0.874939
Penner Farms - SE 27-8-13 (site 2),2025-08-01,Normal,430.93,,,24.0,142.7,5.945833,0.993433,24.0,144.11,6.004583,1.003249,24.0,144.12,6.005,1.003318
Penner Farms - SE 27-8-13 (site 2),2025-08-02,Normal,309.62,,,24.0,105.76,4.406667,1.02474,24.0,107.0,4.458333,1.036755,24.0,96.86,4.035833,0.938505
Penner Farms - SE 27-8-13 (site 2),2025-08-03,Normal,303.71,,,24.0,99.89,4.162083,0.986698,24.0,101.45,4.227083,1.002107,24.0,102.37,4.265417,1.011195
Penner Farms - SE 27-8-13 (site 2),,Marker - 129 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2025-12-11,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-12-12,Normal,43.3,,,24.0,13.78,0.574167,0.954734,24.0,14.29,0.595417,0.990069,24.0,15.23,0.634583,1.055196
Penner Farms - SE 27-8-13 (site 2),2025-12-13,Normal,39.31,,,24.0,12.36,0.515,0.943271,24.0,13.72,0.571667,1.047062,24.0,13.23,0.55125,1.009667
Penner Farms - SE 27-8-13 (site 2),2025-12-14,Normal,84.08,,,24.0,26.14,1.089167,0.932683,24.0,29.09,1.212083,1.03794,24.0,28.85,1.202083,1.029377
Penner Farms - SE 27-8-13 (site 2),2025-12-15,Normal,75.77,,,24.0,23.88,0.995,0.945493,24.0,26.11,1.087917,1.033786,24.0,25.78,1.074167,1.020721
Penner Farms - SE 27-8-13 (site 2),2025-12-16,site_missing_data,81.06,FRONIUS-d95b5e9d-f2d5-4950-85a9--G013,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-12-17,Normal,1.5,,,24.0,0.49,0.020417,0.98,24.0,0.5,0.020833,1.0,24.0,0.51,0.02125,1.02
Penner Farms - SE 27-8-13 (site 2),2025-12-18,Normal,143.87,,,24.0,45.49,1.895417,0.948565,24.0,49.56,2.065,1.033433,24.0,48.82,2.034167,1.018002
Penner Farms - SE 27-8-13 (site 2),2025-12-19,Normal,277.39,,,24.0,90.36,3.765,0.977252,24.0,94.81,3.950417,1.025379,24.0,92.22,3.8425,0.997368
Penner Farms - SE 27-8-13 (site 2),2025-12-20,Normal,295.73,,,24.0,93.39,3.89125,0.947384,24.0,102.52,4.271667,1.040003,24.0,99.82,4.159167,1.012613
Penner Farms - SE 27-8-13 (site 2),2025-12-21,Normal,81.06,,,24.0,26.74,1.114167,0.989637,24.0,27.17,1.132083,1.005551,24.0,27.15,1.13125,1.004811
Penner Farms - SE 27-8-13 (site 2),,Marker - 133 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2026-05-04,Normal,568.51,,,24.0,189.26,7.885833,0.998716,24.0,190.27,7.927917,1.004046,24.0,188.98,7.874167,0.997238
Penner Farms - SE 27-8-13 (site 2),2026-05-05,Normal,555.88,,,24.0,185.1,7.7125,0.998957,24.0,186.02,7.750833,1.003922,24.0,184.76,7.698333,0.997122
Penner Farms - SE 27-8-13 (site 2),2026-05-06,Normal,610.11,,,24.0,203.01,8.45875,0.99823,24.0,203.69,8.487083,1.001573,24.0,203.41,8.475417,1.000197
Penner Farms - SE 27-8-13 (site 2),2026-05-07,Normal,543.58,,,24.0,181.09,7.545417,0.99943,24.0,181.86,7.5775,1.003679,24.0,180.63,7.52625,0.996891
Penner Farms - SE 27-8-13 (site 2),2026-05-08,Normal,409.5,,,24.0,134.4,5.6,0.984615,24.0,137.71,5.737917,1.008864,24.0,137.39,5.724583,1.00652
Penner Farms - SE 27-8-13 (site 2),2026-05-09,site_missing_data,555.88,FRONIUS-d95b5e9d-f2d5-4950-85a9--G014,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-10,site_missing_data,562.195,FRONIUS-d95b5e9d-f2d5-4950-85a9--G014,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-11,Normal,572.17,,,24.0,190.35,7.93125,0.998043,24.0,191.19,7.96625,1.002447,24.0,190.63,7.942917,0.999511
Penner Farms - SE 27-8-13 (site 2),2026-05-12,Normal,616.69,,,24.0,204.75,8.53125,0.996043,24.0,206.3,8.595833,1.003584,24.0,205.64,8.568333,1.000373
Penner Farms - SE 27-8-13 (site 2),2026-05-13,Normal,268.14,,,24.0,88.64,3.693333,0.991721,24.0,89.89,3.745417,1.005706,24.0,89.61,3.73375,1.002573
Penner Farms - SE 27-8-13 (site 2),2026-05-14,Normal,199.28,,,24.0,66.29,2.762083,0.997943,24.0,66.53,2.772083,1.001556,24.0,66.46,2.769167,1.000502
Penner Farms - SE 27-8-13 (site 2),2026-05-15,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-16,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-17,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-18,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-19,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2026-05-20,Normal,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
